SKU;DESCRIPCION;MARCA;COSTO;VENTA;IVA %;CATEGORIA;SUB CATEGORIA
CY-NVR716-128-IVS;NVR 128Ch 16Hdd H.265 4K;CYGNUS;5158.22;6712.38;21;GRABADORES NVR;128CH
DS-96128NI-M8;128Ch 4K 8HDD 2U NVR;HIKVISION;3997;5210;21;GRABADORES NVR;128CH
CY-NVR7116-IVS;CYGNUS NVR 16Ch 1Hdd IVS;CYGNUS;55;68;21;GRABADORES NVR;16CH
CY-NVR7216-AI;NVR Cygnus 16Ch 2HDD;CYGNUS;502.72;654.19;21;GRABADORES NVR;16CH
NVR6116-IVS;NVR 16 CH 4k 1 HDD;CYGNUS;42;54;21;GRABADORES NVR;16CH
NVR7216-IQ;16Ch  2HDD IA NVR CYGNUS;CYGNUS;198;247;21;GRABADORES NVR;16CH
IPC-2M-BWI;IPC 2MP IR 2.8mm Dome Cyg;CYGNUS;30.5;35;21;CAMARAS IP;2-3MPX
IPC-2M-BWZI-M;IPC 2MP Domo IR 40mts  VF;CYGNUS;48;59;21;CAMARAS IP;2-3MPX
IPC-2M-DWZI-M;IPC 2MP Eyeball IR40 mts;CYGNUS;59;68;21;CAMARAS IP;2-3MPX
IPC-2M-FZI10-A;2MP Bullet Camera Lighthu;CYGNUS;250;320;21;CAMARAS IP;2-3MPX
CY-NVR7232-IVS;NVR 32Ch 2HDD 4K Cygnus;CYGNUS;95;107;21;GRABADORES NVR;32CH
NVR-304-32E-B;NVR 32Ch 4HDD UNV OUTLET;UNIVIEW;95;95;21;GRABADORES NVR;32CH
NVR7232-IQ;32Ch 2HDD IA NVR CYGNUS;CYGNUS;239.4;299;21;GRABADORES NVR;32CH
NVR7432-IVS;NVR 32CH 2U 4 HDD;CYGNUS;125;149;21;GRABADORES NVR;32CH
HAC-B1A51P-0360B-S2;5MP HDCVI IR 3.6 Bullet;DAHUA;17.11;17.11;21;CAMARAS HDCVI TVI;4-6MPX
HAC-B1A51P-U-0280B-S2;5MP HDCVI IR 2.8 Bullet;DAHUA;17.11;17.11;21;CAMARAS HDCVI TVI;4-6MPX
HAC-B2A51P-0280B-S2;5MP HDCVI IR 2.8 OUTLET;DAHUA;17;17;21;CAMARAS HDCVI TVI;4-6MPX
HAC-B2A51P-U-0280B-S2;5MP HDCVI IR 2.8 OUTLET;DAHUA;17;17;21;CAMARAS HDCVI TVI;4-6MPX
HAC-HDW1509TLQP-A-LED-0280B-S2;5MP HDCVI FullColor 2.8;DAHUA;31.86;31.86;21;CAMARAS HDCVI TVI;4-6MPX
HAC-HDW2501TP-Z-A-27135;5MP HDCVI Mic Varifocal;DAHUA;25.96;25.96;21;CAMARAS HDCVI TVI;4-6MPX
HAC-HFW1500CMP-0280B-S2;5MP HDCVI IR 2.8 Bullet;DAHUA;21.94;28.52;21;CAMARAS HDCVI TVI;4-6MPX
HAC-HFW1509TLMP-A-LED-0280B-S2;5MP HDCVI FullColor Mic;DAHUA;32.82;32.82;21;CAMARAS HDCVI TVI;4-6MPX
HAC-ME1509THP-PV-0360B;5MP TIOC FullColor 3.6;DAHUA;14.16;14.16;21;CAMARAS HDCVI TVI;4-6MPX
HAC-T1A51P-0280B-S2;5MP HDCVI IR Indoor OUTLE;DAHUA;14;14;21;CAMARAS HDCVI TVI;4-6MPX
HAC-T2A51P-0280B-S2;5MP HDCVI IR 2.8 OUTLET;DAHUA;19.9;19.9;21;CAMARAS HDCVI TVI;4-6MPX
CY-IPC-4M-FW;IPC Bullet 4Mpx IR 30mt H;SMARTPIXEL;71.01;92.41;21;CAMARAS IP;4-6MPX
CY-IPC-5M-DWS-A;IPC Cygnus Domo 5Mpx H.26;CYGNUS;158.01;205.62;21;CAMARAS IP;4-6MPX
IPC-4M-BUZI-MA;4MP LightHunter Domo IK10;CYGNUS;180.18;234.23;21;CAMARAS IP;4-6MPX
IPC-5M-DUI-M;5MP 2.8 ColorHunter MIC;CYGNUS;118.3;153.79;21;CAMARAS IP;4-6MPX
IPC-5M-FUI-A;5MP 6.0 ColorHunter IK10;CYGNUS;72;86;21;CAMARAS IP;4-6MPX
CY-NVR104-4P;NVR 4Ch PoE 1HDD;CYGNUS;47;50;21;GRABADORES NVR;4CH
NVR1104HS-W-S2;NVR 4Ch WiFi OUTLET;IMOU;45;45;21;GRABADORES NVR;4CH
NVR6104-IVS;NVR 4ch 1 HDD H265;CYGNUS;19;25;21;GRABADORES NVR;4CH
CY-NVR716-64-AI;NVR 64Ch 16Hdd AI;CYGNUS;2940;2940;21;GRABADORES NVR;64CH
CY-NVR7864-AI;NVR 64Ch 8HDD AI;CYGNUS;1280;1280;21;GRABADORES NVR;64CH
NVR7864R-IQ;NVR 64CH 8HDD RAID;CYGNUS;1265;1337;21;GRABADORES NVR;64CH
CY-NVR108-8P;NVR 8Ch PoE 1HDD;CYGNUS;55;60;21;GRABADORES NVR;8CH
NVR1108HS-W-S2;NVR 8CH WiFi OUTLET;IMOU;65;65;21;GRABADORES NVR;8CH
NVR6108-IVS;NVR 8 ch 1 HDD 8 Mpx 64 m;CYGNUS;39;46;21;GRABADORES NVR;8CH
NVR7209-IQ;9Ch 1HDD IA NVR CYGNUS;CYGNUS;175;220;21;GRABADORES NVR;8CH
CY-IPC-4K-FWS;IPC Cygnus Bullet IR 4K 8;CYGNUS;170.83;222.31;21;CAMARAS IP;8Mpx/4K
CY-IPC-4K-FZPRO;IPC Bullet 4K IR 2.8-12mm;CYGNUS;115;139;21;CAMARAS IP;8Mpx/4K
CY-IPC-4K-FZS;IPC Cygnus Bullet 4K 8mpx;CYGNUS;385.03;501.05;21;CAMARAS IP;8Mpx/4K
IPC-8M-DA;8MP MIC  Eyeball;CYGNUS;45;59;21;CAMARAS IP;8Mpx/4K
IPC-8M-DA-ZERO-0280;Zero 8MP Eyeball 2.8m Mic;CYGNUS;97;126;21;CAMARAS IP;8Mpx/4K
IPC-8M-DA-ZERO-0400;Zero 8MP eyeball 4mm Mic;CYGNUS;107;142;21;CAMARAS IP;8Mpx/4K
IPC-8M-DUA;4K HD IR Starlight  Audio;CYGNUS;83;108;21;CAMARAS IP;8Mpx/4K
IPC-8M-DUKA;8MP Starlight+LED Eyeball;CYGNUS;121;157;21;CAMARAS IP;8Mpx/4K
IPC-8M-DUZI-M;8MP Eyeball Starlight;CYGNUS;198.38;142;21;CAMARAS IP;8Mpx/4K
IPC-8M-DUZKA;8MP Starlight WDR IR Audi;CYGNUS;297;386;21;CAMARAS IP;8Mpx/4K
IPC-8M-DWI;8mp 4K Eyeball Turret;CYGNUS;98.28;127.76;21;CAMARAS IP;8Mpx/4K
IPC-8M-FA;8MP 4K Mic Bullet;CYGNUS;60;75;21;CAMARAS IP;8Mpx/4K
IPC-8M-FA-ZERO-0400;Zero 8MP Bullet 4mm Mic;CYGNUS;97;127;21;CAMARAS IP;8Mpx/4K
IPC-8M-FUA;8MP Bullet 4K Mic;CYGNUS;86;112;21;CAMARAS IP;8Mpx/4K
IPC-8M-FUZI-A;IPC 2.8-12mm 8 mpx IR 40m;CYGNUS;198.38;257.89;21;CAMARAS IP;8Mpx/4K
IPC-8M-FWI;Mini Fixed Bullet Network;CYGNUS;65;75;21;CAMARAS IP;8Mpx/4K
IPC-8M-FWI-V;8MP LightHunter Disuasiv;CYGNUS;65;75;21;CAMARAS IP;8Mpx/4K
BNC-13F;BNC Hembra a tornillo;CYGNUS;0.16;0.2;21;ACCESORIOS;ACCESORIOS
BOX14-19;Caja plástica estanca IP6;VS;7.68;7.69;21;ACCESORIOS;ACCESORIOS
CY-RTCLONE;Control Remoto copiador c;CYGNUS;4.6;6;21;ACCESORIOS;ACCESORIOS
